GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
311,98,1,1,2.5,7.46,0,0.57
312,107,3,3,3,8.46,1,0.75
301,107,3,3.5,3.5,8.34,1,0.62
307,102,3,3,3,8.27,0,0.73
325,112,4,4,4,9,1,0.8
316,111,4,4,5,8.54,0,0.71
322,112,3,3,4,8.62,1,0.76
328,113,4,4,2.5,8.77,1,0.83
322,110,3,4,5,8.64,1,0.85
304,100,2,2.5,3.5,8.07,0,0.64
328,108,4,4.5,4,9.18,1,0.84
329,111,4,4.5,4,9.01,1,0.81
312,103,3,5,4,8.45,0,0.76
310,106,2,3.5,2.5,8.33,0,0.73
326,102,4,5,5,8.76,1,0.77
312,107,2,2.5,3.5,8.27,0,0.69
310,106,4,4.5,4.5,9.04,1,0.66
335,117,5,5,5,9.56,1,0.94
313,101,3,2.5,3,8.04,0,0.62
305,105,2,3,2,8.23,0,0.67
330,116,4,4,3.5,9.23,1,0.91
312,103,3,3.5,4,8.78,0,0.67
319,112,3,2.5,2,8.71,1,0.78
331,116,5,4,4,9.26,1,0.93
314,102,4,2.5,2,7.88,1,0.59
338,117,4,3.5,4.5,9.46,1,0.91
324,110,3,3.5,3,9.22,1,0.89
326,116,3,3.5,4,9.14,1,0.81
323,112,5,4,4.5,8.78,0,0.79
313,102,3,3.5,4,8.9,1,0.77
326,113,5,4.5,4,9.4,1,0.91
301,102,3,2.5,2,8.13,1,0.68
325,112,4,3.5,3.5,8.92,0,0.55
321,111,3,2.5,3,8.9,1,0.8
319,103,4,4.5,3.5,8.66,0,0.76
324,115,3,3.5,3,8.76,1,0.7
317,107,3,3.5,3,8.68,1,0.84
340,113,4,5,5,9.74,1,0.96
297,100,1,1.5,2,7.9,0,0.52
328,112,4,4,4.5,9.1,1,0.78
320,110,5,5,5,9.2,1,0.88
295,93,1,2,2,7.2,0,0.46
312,101,2,2.5,3.5,8.04,1,0.68
331,115,5,4,3.5,9.44,1,0.92
333,117,4,5,4,9.66,1,0.95
308,106,3,3,3,8.24,0,0.58
316,110,3,3.5,4,8.56,0,0.75
304,100,4,1.5,2.5,7.84,0,0.42
312,100,2,1.5,3.5,7.9,1,0.56
296,101,1,2.5,3,7.68,0,0.6
321,109,3,3,3,8.54,1,0.79
318,106,3,2,3,8.65,0,0.71
309,108,3,2.5,3,8.12,0,0.72
316,105,2,2.5,2.5,8.2,1,0.49
310,110,1,1.5,4,7.23,1,0.58
296,97,2,1.5,2,7.8,0,0.49
315,99,2,3.5,3,7.89,0,0.63
312,106,3,4,3.5,8.79,1,0.81
321,114,4,4,5,9.12,0,0.85
304,104,3,2.5,2,8.12,0,0.62
314,103,2,2,3,8.21,0,0.65
309,99,3,4,4,8.56,0,0.76
315,101,3,3.5,4.5,9.13,0,0.79
322,107,3,3.5,3.5,8.46,1,0.71
306,110,2,3.5,4,8.45,0,0.63
316,103,2,2,4.5,8.74,0,0.69
333,119,5,5,4.5,9.78,1,0.96
334,119,5,4.5,5,9.54,1,0.94
334,117,5,4,4.5,9.07,1,0.89
332,119,4,5,4.5,9.24,1,0.9
302,99,2,1,2,7.97,0,0.56
330,116,5,5,4.5,9.36,1,0.93
307,101,3,4,3,8.2,0,0.47
339,119,5,4.5,4,9.7,0,0.89
338,118,4,3,4.5,9.4,1,0.91
314,107,3,3,3.5,8.17,1,0.73
295,101,2,2.5,2,7.86,0,0.69
317,103,3,2.5,3,8.54,1,0.73
320,108,3,3.5,5,8.97,1,0.84
298,98,2,1.5,2.5,7.5,1,0.44
314,102,2,2,2.5,8.24,0,0.64
313,104,3,4,4.5,8.65,0,0.73
327,108,5,5,3.5,9.13,1,0.87
314,104,4,5,5,9.02,0,0.82
318,109,3,3,3,8.5,0,0.67
312,106,3,3,5,8.57,0,0.71
326,116,2,4.5,3,9.08,1,0.8
304,105,2,3,3,8.2,1,0.54
314,109,4,3.5,4,8.77,1,0.82
326,112,3,3.5,3,9.1,1,0.84
309,105,4,3.5,2,8.18,0,0.65
302,102,1,2,1.5,8,0,0.5
299,100,3,2,2,8.02,0,0.63
298,97,2,2,3,7.21,0,0.45
325,111,3,3,3.5,8.7,0,0.52
309,106,2,2.5,2.5,8,0,0.62
311,104,3,3.5,2,8.2,1,0.61
315,105,3,2,2.5,8.34,0,0.7
308,110,3,3.5,3,8,1,0.46
311,99,1,2.5,3,8.43,1,0.71
319,105,4,4,4.5,8.66,1,0.77
311,101,3,2,2.5,7.64,1,0.62
322,112,4,4.5,4.5,9.26,1,0.91
304,102,2,3,4,8.73,0,0.67
327,113,4,4.5,4.5,9.04,0,0.84
320,112,2,3.5,3.5,8.78,1,0.73
332,118,5,5,5,9.47,1,0.94
325,112,4,4,4.5,9.17,1,0.85
310,102,3,3.5,4,8.02,1,0.66
338,120,4,5,5,9.66,1,0.95
317,100,2,3,2.5,8.57,0,0.68
327,115,4,3.5,4,9.14,0,0.79
316,99,2,2.5,3,9,0,0.7
302,110,3,4,4.5,8.5,0,0.65
326,114,4,4,3.5,9.16,1,0.86
323,107,3,3.5,3.5,8.55,1,0.73
318,107,3,3,3.5,8.27,1,0.74
308,108,4,4.5,5,8.34,0,0.77
315,110,2,3.5,3,8.46,1,0.72
298,99,1,1.5,3,7.46,0,0.53
332,117,4,4.5,4,9.1,0,0.87
321,109,4,4,4,9.13,1,0.85
315,105,2,3,3,8.34,0,0.66
324,111,5,4.5,4,9.16,1,0.9
308,110,4,3.5,3,8.6,0,0.7
331,119,4,5,4.5,9.34,1,0.9
316,110,3,4,4.5,8.78,1,0.69
324,112,4,4,2.5,8.1,1,0.72
320,108,3,3.5,4,8.44,1,0.76
324,107,4,4,4.5,8.87,1,0.76
331,116,4,4.5,4.5,9.44,1,0.92
304,103,5,5,3,7.92,0,0.71
327,111,4,3,4,8.4,1,0.78
308,102,2,2,3.5,7.98,1,0.58
312,105,3,2,3,8.02,1,0.5
295,99,2,2.5,3,7.65,0,0.57
331,112,5,4,5,9.8,1,0.94
324,111,3,2.5,1.5,8.79,1,0.7
310,101,3,3.5,5,8.65,1,0.71
320,104,3,3.5,4.5,8.34,1,0.74
299,97,3,5,3.5,7.66,0,0.38
324,107,5,3.5,4,8.66,1,0.81
308,105,4,3,2.5,7.95,1,0.67
334,116,4,4,3,8,1,0.78
316,98,1,1.5,2,7.43,0,0.49
325,110,2,3,2.5,8.76,1,0.75
317,103,2,2.5,2,8.15,0,0.65
307,109,3,4,3,8,1,0.62
308,104,2,2.5,3,8.07,0,0.65
314,108,3,4.5,3.5,8.14,0,0.64
307,105,2,2,3.5,8.1,0,0.53
312,99,1,1,1.5,8.01,1,0.52
302,102,3,3.5,5,8.33,0,0.65
324,112,4,4,3.5,8.77,1,0.8
300,95,2,3,1.5,8.22,1,0.62
333,113,5,4,4,9.28,1,0.89
323,110,3,4,3.5,9.1,1,0.79
323,107,4,3,2.5,8.48,1,0.78
327,113,4,3.5,3,8.69,1,0.8
325,114,3,3.5,3,9.04,1,0.76
322,110,3,3,3.5,8,0,0.7
306,103,2,2.5,3,8.36,0,0.69
313,98,3,2.5,4.5,8.3,1,0.76
295,99,1,2,1.5,7.57,0,0.37
321,111,4,4,4,8.97,1,0.87
328,116,5,4.5,5,9.08,1,0.91
324,112,5,5,5,9.08,1,0.88
330,120,5,4.5,5,9.56,1,0.93
335,118,5,4.5,3.5,9.44,1,0.93
311,99,2,2.5,3,7.98,0,0.65
300,99,1,3,2,6.8,1,0.36
321,110,3,3.5,5,8.85,1,0.82
295,96,2,1.5,2,7.34,0,0.47
326,111,5,4.5,4,9.23,1,0.88
318,100,2,2.5,3.5,8.54,1,0.71
325,114,4,3,2,8.4,0,0.7
301,100,3,3.5,3,8.04,0,0.67
329,113,4,4,3.5,9.36,1,0.89
315,103,1,1.5,2,7.86,0,0.57
329,113,5,5,4.5,9.45,1,0.89
321,114,5,4.5,4.5,9.16,1,0.87
323,110,5,4,5,8.98,1,0.87
335,117,5,5,5,9.82,1,0.96
312,98,1,3.5,3,8.18,1,0.64
317,101,3,3,2,7.94,1,0.49
305,103,2,2.5,3.5,8.13,0,0.59
324,100,3,4,5,8.64,1,0.78
312,108,3,3.5,3,8.53,0,0.69
311,106,2,3.5,3,8.26,1,0.79
339,114,5,4,4.5,9.76,1,0.96
332,116,5,5,5,9.28,1,0.94
321,107,2,2,1.5,8.44,0,0.81
323,113,3,4,4,8.88,1,0.79
336,119,4,4.5,4,9.62,1,0.95
317,107,2,3.5,3,8.28,0,0.66
312,100,1,3,3,8.53,1,0.69
327,113,3,3.5,3,8.66,1,0.8
331,117,4,4.5,5,9.42,1,0.94
314,99,4,3.5,4.5,8.73,1,0.71
334,119,5,4.5,4.5,9.48,1,0.94
327,113,4,4.5,4.5,9.04,0,0.84
312,107,3,3,2,7.9,1,0.64
331,115,5,4.5,3.5,9.36,1,0.93
336,112,5,5,5,9.76,1,0.96
329,111,4,4.5,4.5,9.18,1,0.87
306,105,2,2.5,3,8.22,1,0.72
302,99,1,2,2,7.25,0,0.57
309,105,2,2.5,4,7.68,0,0.55
314,106,2,4,3.5,8.25,0,0.62
